Tarifpunkt,IBNR,Bahnhofstatus,Verbund,Regionen,Gleichstellung zu beachten
Berlin Nordbahnhof,11174,NAST,VBB,1099,*
Berlin-Oberspree,11365,NAST,VBB,1118,*
Berlin Olympiastad.,11367,NAST,VBB,1093,*
Berlin Oranienb.Str.,11175,NAST,VBB,1099,*
Berlin Osdorfer Str.,11369,NAST,VBB,1118,*
Berlin Ostbahnhof,10255,NAST,VBB,1005,*
Berlin Ostkreuz,11162,AST,VBB,"1013,1034,1005,1118",*
Berlin-Pankow,11372,NAST,VBB,1034,*
Berlin-Pankow-Hein.,11374,NAST,VBB,1034,*
Berlin-Pichelsberg,11375,NAST,VBB,1093,*
Berlin Plänterwald,11379,NAST,VBB,1118,*
Berlin Poelchaustr.,11391,NAST,VBB,1034,*
Berlin Potsdamer Pl,11118,NAST,VBB,176,*
Berlin Prenzlauer Al,11180,NAST,VBB,1034,*
Berlin Priesterweg,11394,NAST,VBB,1118,*
Berlin-Rahnsdorf,11410,NAST,VBB,1034,*
Berlin Rath.Steglitz,11432,NAST,VBB,176,*
Berlin-Rummelsburg,11441,NAST,VBB,1013,*
Berlin R-Wallenbg-St,11443,NAST,VBB,1034,*
Berlin Savignyplatz,11163,NAST,VBB,490,*
Berlin Schichauweg,11444,NAST,VBB,1118,*
Berlin-Schlachtensee,11445,NAST,VBB,176,*
Berlin-Schöneberg,11109,NAST,VBB,176,*
Berlin-Schöneweide,10041,NAST,VBB,1118,*
Berlin Schönh.Allee,11182,NAST,VBB,1034,*
Berlin-Schönholz,11448,NAST,VBB,1034,*
Berlin-Schulzendorf,11452,NAST,VBB,1034,*
Berlin Sonnenallee,11186,NAST,VBB,1118,*
Berlin-Spandau,10404,HAST,VBB,"1093,1031,1032,489",*
Berlin-Spindlersfeld,11457,NAST,VBB,1118,*
Berlin Springpfuhl,11459,NAST,VBB,1034,*
Berlin-Staaken,13021,NAST,VBB,1032,*
Berlin Storkower Str,11192,NAST,VBB,1034,*
Berlin-Stresow,11461,NAST,VBB,1093,*
Berlin Südende,11463,NAST,VBB,1118,*
Berlin Südkreuz,11113,AST,VBB,"176,1118",*
Berlin Sundgauer Str,11467,NAST,VBB,176,*
Berlin-Tegel,11475,NAST,VBB,1034,*
Berlin-Tempelhof,11217,NAST,VBB,1118,*
Berlin-Tiergarten,11164,NAST,VBB,490,*
Berlin Treptower Pk,11117,NAST,VBB,1118,*
Berlin-Waidmannslust,11478,NAST,VBB,1034,*
Berlin-Wannsee,10405,HAST,VBB,"176,1095,1118",*
Berlin Warschauer St,11165,NAST,VBB,1005,*
Berlin-Wartenberg,11479,NAST,VBB,1034,*
Berlin-Wedding,11220,NAST,VBB,489,*
Berlin Westend,11196,NAST,VBB,489,*
Berlin Westhafen,11197,NAST,VBB,489,*
Berlin Westkreuz,11108,AST,VBB,"176,1093,489,490",*
Berlin-Wilhelmshagen,11485,NAST,VBB,1034,*
Berlin-Wilhelmsruh,11498,NAST,VBB,1034,*
Berlin-Witten.(WhrD),11499,NAST,VBB,1034,*
Berlin Wollankstr,11501,NAST,VBB,1034,*
Berlin Wuhletal,11504,NAST,VBB,1034,*
Berlin-Wuhlheide,11511,NAST,VBB,1034,*
Berlin Yorckstraße,11198,NAST,VBB,176,*
Berlin-Zehlendorf,11514,NAST,VBB,176,*
Berlin Zoolg. Garten,10406,NAST,VBB,490,*
Bermatingen-Ahausen,909,NAST,BOD,485,
Bernau(b Berlin),13470,NAST,VBB,1034,
Bernau a Chiemsee,911,NAST,MVV,318,
Bernau-Friedenstal,11521,NAST,VBB,1034,
Bernburg Hbf,10043,NAST,MAR,385,
Bernburg-Roschwitz,11605,NAST,MAR,385,
Bernburg-Strenzfeld,11169,NAST,MAR,385,
Bernburg-Waldau,11170,NAST,MAR,385,
Berne,913,NAST,VBN,326,
Bernried,918,NAST,MVV,91,
Bernterode,11172,NAST,,1318,
Bersenbrück,919,NAST,,396,
Berstadt-Wohnbach,920,NAST,RMV,325,
Berthelsdorf(Erzgeb),10044,NAST,VMS,333,
Berthelsdorf Ort,10042,NAST,VMS,333,
Berzhahn,921,NAST,,320,
Besch,923,NAST,SVV,186,
Besigheim,925,NAST,VVS,245,
Besseringen,926,NAST,SVV,186,
Bestensee,11173,NAST,VBB,1070,
Bestwig,927,NAST,VRL,260,
Bettmannsäge,928,NAST,WBV,107,
Betzdorf(Sieg),34,AST,VRM,"272,274,271",
Betzigau,930,NAST,,59,
Beucha,10046,NAST,MDV,312,
Beuggen,932,NAST,RVL,330,
Beuna(Geiseltal),11177,NAST,MDV,1071,
Beuren,11178,NAST,,1321,
Beuron,933,NAST,NAL,399,
Beutelsbach,934,NAST,VVS,553,
Beutersitz,11179,NAST,VBB,1158,
Beverungen-Wehrden,6253,NAST,HST,112,
Bexbach,941,NAST,SVV,369,
Beyendorf,11181,NAST,MAR,352,*
Bibelöd,946,NAST,,140,
Biberach(Baden),942,NAST,TGO,206,
Biberach(Riß),943,NAST,DIN,399,
Biberach(Riß) Süd,944,NAST,BNV,399,
Biblis,503,NAST,VRN,444,
Bibra,11183,NAST,,5,
Bichl,945,NAST,MVV,91,
Bichlb. Almkopfbahn,6763,NAST,VVT,79,
Bichlbach-Berwang,6759,NAST,VVT,79,
Bickenbach(Bergstr),948,NAST,RMV,445,
Biebesheim,951,NAST,RMV,444,
Biedenkopf,952,NAST,RMV,202,
Biedenkopf Campus,954,NAST,RMV,202,
Biederitz,10047,NAST,MAR,94,
Bielefeld-Brackwede,48,AST,OWL,"163,238,223",*
Bielefeld Hbf,36,HAST,OWL,"97,106",*
Bielefeld Ost,953,NAST,OWL,106,*
Bielefeld-Senne,956,NAST,OWL,238,*
Bielefeld-Sennestadt,5535,NAST,OWL,238,*
Bielefeld-Windelsbl.,6466,NAST,OWL,238,*
Biendorf,11184,NAST,MAR,385,
Bienenbüttel,955,NAST,HVV,379,
Bienenmühle,11185,NAST,VMS,333,
Bierbach,357,NAST,SVV,253,
Bieren-Rödinghausen,957,NAST,OWL,368,
Bieringen,959,NAST,NAL,399,
Biesenthal,11188,NAST,VBB,1034,
Biessenhofen,962,NAST,,59,
Bietigheim(Baden),963,NAST,KVV,276,
Bietigheim-Bissingen,38,HAST,VVS,"162,245,541",
Bietingen,965,NAST,VHB,606,
Bigge,966,NAST,VRL,260,
Bildstock,967,NAST,SVV,376,
Bilfingen,968,NAST,VPE,100,
Billenhausen,969,NAST,,413,
Billerbeck,970,NAST,VGM,105,
Binau,973,NAST,VRN,254,
Bindfelde,11190,NAST,,1180,
Bindlach,974,NAST,VGN,237,
Bingen(Rhein) Hbf,39,HAST,RNN,"88,280,315",*
Bingen(Rhein) Stadt,976,NAST,RNN,88,*
Bingen-Gaulsheim,975,NAST,RNN,88,
Binolen,978,NAST,VRL,232,
Birach,981,NAST,TGO,206,
Birkelbach,983,NAST,VGW,218,
Birkenau,984,NAST,VRN,74,
Birkenbringhausen,985,NAST,NVV,202,
Birkenfeld(Enz),986,NAST,VPE,524,
Birkengrund,11194,NAST,VBB,1118,
Birkenstein,11526,NAST,VBB,1034,
Birkenwerder(b Bln),11195,NAST,VBB,1034,
Birkungen,10048,NAST,,1088,
Birnau-Maurach,987,NAST,BOD,485,
Birresborn,989,NAST,VRT,296,
Bischheim-Gersdorf,11199,NAST,VVO,363,
Bischofsgrün,994,NAST,VGN,371,
Bischofswerda,10049,AST,VON,"1044,298,1115",
Bischofswiesen,997,NAST,,142,
Bischweier,998,NAST,KVV,188,
Bisingen,999,NAST,NAL,399,
Bissendorf,1000,NAST,GVH,104,
Bitburg-Erdorf,1828,NAST,VRT,296,
Bittelbronn,1002,NAST,VGF,266,
Bitterfeld,10050,HAST,MDV,"1152,1008,1090,1028",
Bitzfeld,1005,NAST,HNV,243,
Blaibach(Oberpf),1003,NAST,VLC,407,
Blaichach(Allgäu),1004,NAST,,412,
Blankenbach,1011,NAST,VAB,455,
Blankenberg(Meckl),10051,AST,,"1340,1213",
Blankenberg(Sieg),1006,NAST,VRS,270,
Blankenburg(Harz),13439,NAST,,1074,
Blankenf(Teltow-Fl),10053,NAST,VBB,1118,
Blankenheim(Sangerh),10054,NAST,,1072,
Blankenheim(Wald),1008,NAST,VRS,450,
Blankenloch,1009,NAST,KVV,349,
Blankensee(Meckl),11205,NAST,,1014,
Blankenstein(Saale),11206,NAST,VMT,1049,
Blaubeuren,1013,NAST,DIN,399,
Blaufelden,1014,NAST,VSH,346,
Blaustein,1015,NAST,DIN,399,
Blechhammer(Thür),11208,NAST,,1310,
Bleibach,1017,NAST,RVF,29,
Bleichenbach(Oberh),1018,NAST,RMV,336,
Bleicherode Ost,10055,NAST,,1318,
Blens,1010,NAST,,65,
Blieskastel-Lautzk.,1027,NAST,SVV,253,
Blindheim,1028,NAST,,115,
Blönsdorf,11210,NAST,VBB,1156,
Blumberg(b Berlin),11211,NAST,VBB,1034,
Blumberg-Rehhahn,11064,NAST,VBB,1034,
Blumberg-Riedöschin,1029,NAST,VSB,199,*
Blumberg-Zollhaus,6669,NAST,VSB,199,*
Blumenau,11212,NAST,VMS,1116,
Blumenhagen,11213,NAST,,1206,
Bobenheim,1032,NAST,VRN,133,
Bobingen,1033,NAST,AVV,20,
Böbingen(Rems),5979,NAST,OAM,402,
Bobitz,11215,NAST,,1002,
Böblingen,1055,NAST,VVS,470,*
Bobstadt,1034,NAST,VRN,444,
Bocholt,40,AST,VGM,143,
Bochum-Dahlhausen,1038,NAST,VRR,214,*
Bochum-Ehrenfeld,1039,NAST,VRR,214,*
Bochum-Hamme,6710,NAST,VRR,182,*
Bochum Hbf,41,HAST,VRR,"691,182,214,183",*
Bochum-Langendreer,358,NAST,VRR,691,*
Bochum-Langendreer W,4474,NAST,VRR,691,*
Bochum-Riemke,1035,NAST,VRR,182,*
Bochum West,6711,NAST,VRR,182,*
Bockenheim-Kindenh.,1043,NAST,VRN,11,
Bodelsberg,1046,NAST,,79,
Bodelshausen,1047,NAST,NAL,399,
Bodenburg,1048,NAST,,211,
Bodenfelde,1050,NAST,VSN,112,
Bodenheim,359,NAST,RNN,71,
Bodenmais,1051,NAST,WBV,107,
Bodenrode,11219,NAST,,1321,
Bodenwöhr Nord,1054,NAST,VLC,407,
Bödigheim,1056,NAST,VRN,157,*
Bogen,1069,NAST,,48,
Böhlen(Leipzig),13471,NAST,MDV,1017,
Böhlen Werke,11222,NAST,MDV,1017,
Böhl-Iggelheim,1057,NAST,VRN,133,
Böhmhof,1058,NAST,WBV,107,
Bohmte,1071,NAST,,389,
Böhringen-Rickelsh.,1059,NAST,VHB,485,
Boisheim,1072,NAST,VRR,694,
Boizenburg(Elbe),11230,NAST,,1345,
Bondorf(b Herrenb),1080,NAST,VVS,470,
Bönen,1061,NAST,VRL,235,
Bönen-Nordbögge,4448,NAST,VRL,353,
Bonn-Bad Godesberg,1082,NAST,VRS,66,*
Bonn-Beuel,1083,NAST,VRS,124,*
Bonndorf(Schwarzw),1087,NAST,,21,
Bonn-Duisdorf,1084,NAST,VRS,443,*
Bonn-Endenich Nord,1088,NAST,VRS,443,*
Bonn Hbf,44,HAST,VRS,"66,471,443",*
Bonn Helmholtzstr.,1081,NAST,VRS,443,*
Bonn-Mehlem,1085,NAST,VRS,66,*
Bonn-Oberkassel,1086,NAST,VRS,124,*
Bonn UN Campus,1091,NAST,VRS,66,*
Bookholzberg,1089,NAST,VBN,326,
Bopfingen,1090,NAST,OAM,2,
Boppard-Bad Salzig,742,NAST,VRM,315,
Boppard Hbf,45,AST,VRM,"311,315",
Boppard-Hirzenach,2861,NAST,VRM,315,
Bordesholm,1092,NAST,SHT,497,
Borgeln,1093,NAST,VRL,221,
Borgholzhausen,1095,NAST,OWL,163,
Borgsdorf,11527,NAST,VBB,1034,
Bork(Westf),1097,NAST,VRL,151,
Borken(Hess),1098,NAST,NVV,217,
Borken(Westf),346,NAST,VGM,144,
Borkheide,11238,NAST,VBB,1111,
Borna(Leipzig),11242,NAST,MDV,481,
Börnecke(Harz),11226,NAST,,1074,
Borsdorf(Hess),1104,NAST,RMV,325,
Borsdorf(Sachs),10059,AST,MDV,"481,312,1133",
Börßum,1063,NAST,VRB,129,
Bösdorf(Sachs-Anh),11228,NAST,MAR,1025,
Bösperde,1066,NAST,VRL,232,
Bottrop-Boy,1107,NAST,VRR,170,*
Bottrop Hbf,47,HAST,VRR,"169,170,187",*
Bottrop-Vonderort,1108,NAST,VRR,169,*
Bötzingen,1076,NAST,RVF,29,
Bötzingen Mühle,1077,NAST,RVF,29,
Bous(Saar),1110,NAST,SVV,171,
Boxberg-Wölchingen,1111,NAST,VRN,346,
Brachbach,1112,NAST,VRM,272,
Brachelen,1113,NAST,AVV,299,
Brahlstorf,11248,NAST,,1345,
Brake(b Bielefeld),1118,NAST,OWL,97,*
Brake(Unterweser),1120,NAST,VBN,326,
Brakel(Höxter),1121,NAST,HST,112,
Bramsche,1122,NAST,,58,
Bramstedt(b Syke),1123,NAST,VBN,389,
Brand(b Marktredw),1125,NAST,,139,
Brand(Fichtelgeb),1124,NAST,VGN,113,
Brandenburg Altstadt,11252,NAST,VBB,1123,
Brandenburg Hbf,10060,HAST,VBB,"1184,1123,56",
Brandoberndorf,3428,NAST,RMV,380,
Brand Trop. Islands,11250,NAST,VBB,1070,
Brannenburg,1129,NAST,MVV,323,
Braubach,1130,NAST,VRM,394,
Bräunlingen Bahnhof,1119,NAST,VSB,21,*
Bräunlingen Industr,1127,NAST,VSB,21,*
Braunsbedra,11255,NAST,MDV,1071,
Braunsbedra Ost,11256,NAST,MDV,1071,
Braunschweig-Gliesm.,1134,NAST,VRB,77,*
Braunschweig Hbf,49,HAST,VRB,"227,84,89,121,77",*
Braunsdorf-Lichtenw,11257,NAST,VMS,434,
Breddin,11258,NAST,VBB,1229,
Bredelar,1137,NAST,VRL,128,
Bredenbek,1136,NAST,SHT,288,
Bredstedt,1139,NAST,SHT,667,
Brefeld,1140,NAST,SVV,158,
Brehna,11260,NAST,MDV,1028,
Breisach,1143,NAST,RVF,29,
Breitenberg,1146,NAST,VLP,96,
Breitenbrunn(Erzg),11263,NAST,VMS,35,
Breitenbrunn(Schwab),1147,NAST,,413,
Breitendiel,1148,NAST,VAB,157,*
Breitendorf,11264,NAST,VON,1044,
Breitengüßbach,1149,NAST,VGN,356,
Breitscheidt(Altenk),1153,NAST,VRM,257,
Breitungen(Werra),11265,NAST,,1085,
Bremen-Aumund,1187,NAST,VBN,126,*
Bremen-Blumenthal,1194,NAST,VBN,126,*
Bremen-Burg,1156,NAST,VBN,126,*
Bremen-Farge,1208,NAST,VBN,126,*
Bremen Hbf,50,HAST,VBN,"37,389,54,9,126",*
Bremen-Hemelingen,1157,NAST,VBN,389,*
Bremen Kreinsloger,1204,NAST,VBN,126,*
Bremen-Lesum,1159,NAST,VBN,126,*
Bremen-Mahndorf,1160,NAST,VBN,9,*
Bremen Mühlenstr.,1202,NAST,VBN,126,*
Bremen Neustadt,1155,NAST,VBN,54,*
Bremen-Oberneuland,1161,NAST,VBN,37,*
Bremen-Oslebshausen,1162,NAST,VBN,126,*
Bremen-Schönebeck,1163,NAST,VBN,126,*
Bremen-Sebaldsbrück,1164,NAST,VBN,9,*
Bremen-St Magnus,1165,NAST,VBN,126,*
Bremen Turnerstraße,1206,NAST,VBN,126,*
Bremen-Vegesack,1166,NAST,VBN,126,*
Bremen-Walle,1167,NAST,VBN,126,*
Bremerhaven Hbf,51,HAST,VBN,"34,126",*
Bremerhaven-Lehe,1168,NAST,VBN,34,*
Bremerhaven-Wulsdorf,1170,NAST,VBN,126,*
Bremervörde,1171,NAST,HVV,126,
Brest-Aspe,1175,NAST,HVV,126,
Breternitz,11267,NAST,VMT,1322,
Bretleben,10061,HAST,,"1066,1067",
Bretten,53,AST,KVV,"131,435,100,190",*
Bretten Rechberg,1138,NAST,KVV,190,
Bretten-Ruit,1131,NAST,KVV,190,
Bretten Schulzentrum,1144,NAST,KVV,131,*
Bretten Stadtmitte,1152,NAST,KVV,131,*
Brettorf,1176,NAST,VBN,42,
Bretzenheim(Nahe),1177,NAST,RNN,280,
Bretzfeld,1178,NAST,HNV,243,
Breyell,1180,NAST,VRR,694,
Brieselang,13472,NAST,VBB,1031,
Briesen(Mark),11269,NAST,VBB,1364,
Brigachtal Kirchdorf,3339,NAST,VSB,206,*
Brigachtal Klengen,3336,NAST,VSB,206,*
Brilon Stadt,1182,NAST,VRL,361,
Brilon Wald,54,AST,VRL,"128,161,260,361",
Britz,10064,AST,VBB,"1122,316",
Brockhöfe,1185,NAST,,390,
Broderstorf,11270,NAST,VVW,1236,
Brohl,1186,NAST,VRM,222,
Brokstedt,1190,NAST,HVV,494,
Brötzingen Mitte,4799,NAST,VPE,524,*
Bruchenbrücken,1196,NAST,RMV,380,
Bruchhausen(b Ettl),1198,NAST,KVV,347,
Bruchköbel,1199,NAST,RMV,401,
Bruchmühlbach-Mies.,1200,NAST,VRN,194,
Bruchmühlen,1201,NAST,,72,
Bruchsal,55,HAST,KVV,"466,435,100,108,428",*
Bruchsal Am Mantel,1214,NAST,KVV,466,*
Bruchsal AVG,1195,NAST,KVV,108,*
Bruchsal Bildungsz,1197,NAST,KVV,100,*
Bruchsal Schlachthof,1216,NAST,KVV,435,*
Bruchsal Sportzentr.,1212,NAST,KVV,466,*
Bruchsal Tunnelstr.,1219,NAST,KVV,435,*
Bruchweiler,1305,NAST,VRN,253,
Brück(Mark),11271,NAST,VBB,1111,
Bruckberg,1203,NAST,,264,
Brucken,1205,NAST,VVS,282,
Bruckmühl,1207,NAST,MVV,264,
Brügge(Westf),1213,NAST,VRL,90,
Brühl,1215,NAST,VRS,471,
Brühl-Kierberg,3252,NAST,VRS,471,
Brunau-Packebusch,11277,NAST,,68,
Brunnen(Oberbay),1265,NAST,,310,
Bubach,1221,NAST,SVV,158,
Bubenreuth,1223,NAST,VGN,679,*
Buchbrunn-Mainstock.,1225,NAST,VGN,57,
Büchelberg,1239,NAST,VGN,109,
Büchen,58,AST,HVV,"1345,132,44,14",
Buchen(Odenw),1227,NAST,VRN,157,*
Buchenau(Lahn),1228,NAST,RMV,202,
Buchenau(Oberbay),1229,NAST,MVV,650,
Büchenbach,1242,NAST,VGN,6,
Buchenhain,1231,NAST,MVV,264,
Buchenhorst,11281,NAST,,8,
Buchen Ost,1226,NAST,,157,*
Büches-Düdelsheim,1244,NAST,RMV,336,
Buchholz(Baden),1234,NAST,RVF,29,
Buchholz(Nordheide),56,AST,HVV,"39,40,41",
Buchholz(Zauche),11282,NAST,VBB,1111,
Buchloe,57,HAST,,"20,59,413",
Bückeburg,1245,NAST,,25,
Buckow(Beeskow),11284,NAST,VBB,1065,
Budenheim,1237,NAST,RNN,88,
Büdingen(Oberhess),1250,NAST,RMV,336,
Büdingen(Westerw),1249,NAST,,257,
Bufleben,10067,NAST,VMT,67,
Buggingen,1262,NAST,RVF,26,
Bühl(Alpsee),1251,NAST,,412,
Bühl(Baden),1252,NAST,KVV,681,
Bühlingen,1253,NAST,VGN,2,
Buir,1264,NAST,VRS,300,
Buldern,1266,NAST,VGM,464,
Bullay(DB),1267,NAST,VRM,296,
Bülzig,11290,NAST,MDV,1156,
Bünde(Westf),59,AST,OWL,"368,72,73",
Bundenthal-Rumbach,1243,NAST,VRN,253,
Burbach(Kr Siegen),1268,NAST,,274,
Burbach Mitte,1302,NAST,SVV,388,*
Burg(Dillkr) Nord,1271,NAST,RMV,322,
Burg(Dithm),1273,NAST,,493,
Burg(Magdeburg),11294,NAST,MAR,94,
Burgalben,1275,NAST,VRN,253,
Burgau(Schwab),1276,NAST,,413,
Burgbernheim,1277,NAST,VGN,57,
Burgbernheim-Wildbad,1278,NAST,VGN,101,
Burgdorf,1279,NAST,GVH,83,
Burgebrach,1280,NAST,VGN,475,
Bürgeln,1256,NAST,RMV,284,
Burghaun(Hünfeld),1283,NAST,RMV,436,
Burghausen,1284,NAST,,49,
Burgheim,1285,NAST,,415,
Burgholzhausen v d H,1287,NAST,RMV,380,
Burgkemnitz,11296,NAST,MDV,1090,
Burgkirchen,1288,NAST,,49,
Burgkunstadt,1289,NAST,VGN,145,
Burglauer,1290,NAST,,343,
Burgrieden,1292,NAST,DIN,399,
Burgsinn,1293,NAST,VVM,343,
Burgstädt,11297,NAST,VMS,410,
Burgstall(Murr),1296,NAST,VVS,239,
Burg Stargard(Meckl),11293,NAST,,1014,
Burgthann,1297,NAST,VGN,314,
Burg-u.Ndr Gemünden,61,AST,RMV,"344,329",
Burgweiler,1281,NAST,,485,
Burhafe(Ostfriesl),1301,NAST,,416,
Burkhardswalde-Maxen,11298,NAST,VVO,1113,
Burkhardtsdorf,11299,NAST,VMS,33,
Burkhardtsdorf Mitte,11303,NAST,VMS,33,
Burkheim-Bischoffing,1299,NAST,RVF,29,
Burladingen,1306,NAST,NAL,399,
Burladingen West,1307,NAST,NAL,399,
Burlafingen,1303,NAST,DIN,409,
Bürstadt,360,NAST,VRN,444,
Buschow,11302,NAST,VBB,1123,
Busenbach,1313,NAST,KVV,255,
Büsenbachtal,1258,NAST,HVV,41,
Busenberg-Schindhard,1304,NAST,VRN,253,
Büsum,1259,NAST,SHT,22,
Buttenheim,1310,NAST,VGN,679,
Büttgen,1261,NAST,VRR,247,*
Buttstädt,11304,NAST,VMT,384,
Butzbach,1312,NAST,RMV,331,
Bützow,10066,NAST,VVW,1340,
Buxtehude,1315,NAST,HVV,126,
Cadenberge,1316,NAST,,34,
Cadolzburg,1317,NAST,VGN,52,
Cainsdorf,11305,NAST,VMS,179,*
Calau(Nl),10069,HAST,VBB,"448,378,446",
Calbe(Saale) Ost,10070,AST,MAR,"1080,1084,1007",
Calbe(Saale) Stadt,11323,NAST,MAR,1084,
Calbe(Saale) West,10071,AST,MAR,"385,1084",
Calberlah,1318,NAST,VRB,227,
Caldern,1319,NAST,RMV,202,
Calmbach Bahnhof,1320,NAST,VGC,524,
Calw,63,AST,VGC,"3,266,524",
Calw-Heumaden,1321,NAST,VGC,3,
Camburg(Saale),13474,NAST,VMT,398,
Cammin(Meckl),11307,NAST,,1014,
Capelle(Westf),1323,NAST,VGM,460,
Cappel-Midlum,1324,NAST,VBN,34,
Caputh-Geltow,11308,NAST,VBB,1111,
Caputh Schwielowsee,12957,NAST,VBB,1111,
Carlshütte,1325,NAST,RMV,202,
Casekow,11311,NAST,VBB,1122,
Castrop-Rauxel Hbf,1327,NAST,VRR,691,
Castrop-Rauxel-Merkl,1329,NAST,VRR,180,
Castrop-Rauxel Süd,1328,NAST,VRR,180,
Celle,64,AST,,"83,104,382",*
Cham(Oberpf),1330,NAST,VLC,407,
Chamerau,1331,NAST,VLC,407,
Cheb(Gr),5353,NAST,,139,
Chemnitz-Altchemnitz,13602,NAST,VMS,33,*
Chemnitz-Borna,11974,NAST,VMS,410,*
Chemnitz Erdmannsd.S,13604,NAST,VMS,33,*
Chemnitz Erfenschlag,11975,NAST,VMS,33,*
Chemnitz Friedrichs.,13600,NAST,VMS,33,*
Chemnitz G-Freytag-S,13606,NAST,VMS,33,*
Chemnitz-Harthau,11977,NAST,VMS,33,*
Chemnitz Hbf,10184,HAST,VMS,"432,33,434,410,60",*
Chemnitz-Hilbersd,13450,NAST,VMS,434,*
Chemnitz Kinderwald,11970,NAST,VMS,60,*
Chemnitz Küchwald,11969,NAST,VMS,410,*
Chemnitz Mitte,11971,NAST,VMS,432,*
Chemnitz-Reichenhain,11978,NAST,VMS,33,*
Chemnitz Riemensch.S,13601,NAST,VMS,33,*
Chemnitz Roesslerstr,13605,NAST,VMS,33,*
Chemnitz-Schönau,11979,NAST,VMS,432,*
Chemnitz Schule Altc,13603,NAST,VMS,33,*
Chemnitz-Siegmar,11980,NAST,VMS,432,*
Chemnitz Stadlerpl,13610,NAST,VMS,33,*
Chemnitz Süd,10185,NAST,VMS,432,*
Chemnitz TU Campus,13612,NAST,VMS,33,*
Chemnitz Zentralhst,13607,NAST,VMS,33,*
Chorin,11314,NAST,VBB,1122,
Clarholz,1335,NAST,OWL,463,
Clausnitz,11315,NAST,VMS,333,
Cloppenburg,1337,NAST,,396,
Coburg,1338,AST,VGN,"356,357,360",
Coburg-Beiersdorf,1333,NAST,VGN,357,
Coburg-Neuses,1339,NAST,VGN,357,
Coburg Nord,1334,NAST,VGN,360,
Cochem(Mosel),1340,NAST,VRM,296,
Coesfeld(Westf),66,HAST,VGM,"148,102,103,105",
Coesfeld Schulzentr.,1343,NAST,VGM,105,
Cölbe,65,AST,RMV,"202,284",
Collenberg,5028,NAST,VAB,157,
Contwig,1341,NAST,VRN,253,
Coppenbrügge,1342,NAST,,76,
Coschen,11319,NAST,VBB,449,
Cossebaude,11320,NAST,VVO,363,*
Coswig(Anh),11322,NAST,MDV,1111,
Coswig(b Dresden),10072,AST,VVO,"363,479",
Cottbus Hbf,10073,HAST,VBB,"448,449,378,446,447",*
Cottbus-Merzdorf,12341,NAST,VBB,449,*
Cottbus-Sandow,11318,NAST,VBB,449,*
Cottbus-Willmersd N,11331,NAST,VBB,449,*
Crailsheim,67,HAST,VSH,"2,404,346,109",
Cranzahl,10074,NAST,VMS,1361,
Creglingen,1346,NAST,,346,
Creidlitz,1347,NAST,VGN,356,
Creußen(Oberfr),1348,NAST,VGN,314,
Crimmitschau,11325,NAST,VMS,477,
Cronheim,1350,NAST,VGN,6,
Crossen a d Elster,10196,NAST,VMT,1079,
Crossen Ort,11312,NAST,VMT,1079,
Cuxhaven,1352,NAST,,34,
Dabendorf,11334,NAST,VBB,1118,
Dachau Bahnhof,1354,NAST,MVV,264,
Dachau Stadt,1355,NAST,MVV,264,
Dachrieden,11335,NAST,,1088,
Dachsbach,1356,NAST,VGN,57,
Dachwig,11336,NAST,VMT,358,
Dahl,1357,NAST,VRR,90,*
Dahlbruch,1358,NAST,VGW,218,
Dahlem(Eifel),1359,NAST,VRS,450,
Dahlen(Sachs),11339,NAST,MDV,1133,
Dahlenburg,1360,NAST,HVV,392,
Dahlerbrück,1362,NAST,VRL,90,
Dahlewitz,11340,NAST,VBB,1118,
Dahn,1370,NAST,VRN,253,
Dahn Süd,1371,NAST,VRN,253,
Dalheim,1365,NAST,,110,
Dallau,1366,NAST,VRN,465,
Dallgow-Döberitz,11341,NAST,VBB,1032,
Dannenberg Ost,1372,NAST,HVV,392,
Dannenwalde(Gransee),11344,NAST,VBB,1121,
Darlingerode,11346,NAST,,1020,
Darmstadt-Arheilgen,1378,NAST,RMV,98,*
Darmstadt-Eberstadt,1379,NAST,RMV,445,*
Darmstadt Hbf,68,HAST,RMV,"98,445,254",*
Darmstadt-Kranichst.,1380,NAST,RMV,254,*
Darmstadt Nord,1375,NAST,RMV,254,*
Darmstadt Ost,1376,NAST,RMV,254,*
Darmstadt Süd,1377,NAST,RMV,445,*
Darmstadt TU-Lichtw.,1386,NAST,RMV,254,*
Darmstadt-Wixhausen,6528,NAST,RMV,98,*
Dasing,1382,NAST,AVV,310,
Dattenfeld(Sieg),1384,NAST,VRS,270,
Dauenhof,1387,NAST,HVV,494,
Daufenbach,1388,NAST,VRT,296,
Dausenau,1389,NAST,VRM,393,
Davensberg,1390,NAST,VGM,460,
Dedenhausen,1392,NAST,GVH,87,
Dedensen-Gümmer,1393,NAST,GVH,104,
Dedinghausen,1394,NAST,VRL,160,*
Deggendorf Hbf,1397,NAST,WBV,107,
Deidesheim,1399,NAST,VRN,133,
Deining(Oberpf),1400,NAST,VGN,314,
Deisenhofen,1404,NAST,MVV,264,*
Deißlingen Mitte,1405,NAST,VVR,206,
Delitzsch,10076,AST,MDV,"1152,433,1029,1150",
Dellfeld,1406,NAST,VRN,253,
Dellfeld Ort,1407,NAST,VRN,253,
Delmenhorst,70,AST,VBN,"54,326,42",*
Demantsfürth-Ühlf.,1410,NAST,VGN,57,
